Id,SalePrice
1461,128660.93
1462,150279.42
1463,188120.02
1464,191615.89
1465,198107.88
1466,180851.33
1467,174005.0
1468,180281.44
1469,185171.19
1470,126639.266
1471,201930.69
1472,91963.83
1473,118760.055
1474,152327.69
1475,138709.02
1476,331297.16
1477,253161.33
1478,296410.53
1479,246776.39
1480,427737.4
1481,324864.16
1482,204380.92
1483,180351.67
1484,162768.1
1485,181360.23
1486,209689.39
1487,368244.03
1488,244780.34
1489,216420.36
1490,207601.47
1491,188912.33
1492,103605.69
1493,196848.77
1494,286624.12
1495,289151.56
1496,226772.45
1497,183967.97
1498,160607.48
1499,166490.0
1500,166200.64
1501,194684.86
1502,165505.06
1503,327565.9
1504,227454.9
1505,218072.06
1506,212601.6
1507,232540.7
1508,212292.66
1509,171356.06
1510,146265.6
1511,147504.5
1512,170890.03
1513,161312.5
1514,167805.34
1515,178920.22
1516,164982.95
1517,168413.95
1518,115467.5
1519,219344.1
1520,128263.67
1521,140380.28
1522,176716.12
1523,108036.87
1524,113502.36
1525,116693.13
1526,129089.44
1527,108718.27
1528,133449.47
1529,148144.56
1530,185224.7
1531,130243.18
1532,100546.34
1533,146102.39
1534,118394.86
1535,171127.84
1536,108645.02
1537,95736.32
1538,200437.4
1539,167257.47
1540,90925.21
1541,166547.12
1542,151693.4
1543,229240.83
1544,103244.19
1545,121232.266
1546,137529.56
1547,135080.73
1548,138003.73
1549,130628.86
1550,147812.62
1551,113420.43
1552,145389.5
1553,157691.9
1554,116483.555
1555,190837.12
1556,109043.15
1557,142024.34
1558,106813.86
1559,124919.28
1560,143414.28
1561,157753.88
1562,136179.02
1563,124382.68
1564,165741.5
1565,156720.2
1566,211959.11
1567,93037.23
1568,221681.58
1569,149920.47
1570,139337.12
1571,130064.43
1572,142163.72
1573,248270.9
1574,97391.984
1575,191101.38
1576,240071.72
1577,199498.3
1578,174811.73
1579,145865.4
1580,192703.44
1581,153597.92
1582,128518.375
1583,326619.84
1584,230393.1
1585,143256.3
1586,96426.54
1587,105801.58
1588,152249.73
1589,102629.08
1590,129851.53
1591,85216.44
1592,138060.86
1593,126470.76
1594,144948.22
1595,111350.984
1596,246378.92
1597,162757.45
1598,192999.44
1599,195835.64
1600,175946.3
1601,72033.76
1602,129325.98
1603,96559.484
1604,272350.4
1605,243193.48
1606,178279.14
1607,170007.53
1608,206935.72
1609,189977.25
1610,154395.47
1611,145913.36
1612,146318.23
1613,166384.6
1614,128331.48
1615,95834.83
1616,74549.01
1617,95877.46
1618,121898.055
1619,156580.36
1620,153152.44
1621,144195.81
1622,137891.83
1623,312170.56
1624,219674.75
1625,128722.35
1626,170497.16
1627,187954.4
1628,270358.03
1629,184940.81
1630,409613.56
1631,232040.94
1632,253180.39
1633,181452.67
1634,193706.33
1635,194173.88
1636,164152.52
1637,163376.9
1638,204456.42
1639,181355.86
1640,260906.14
1641,181228.66
1642,202397.88
1643,225601.11
1644,244976.7
1645,183248.38
1646,157103.92
1647,150429.17
1648,134093.75
1649,134984.52
1650,124929.766
1651,116897.586
1652,94021.516
1653,97742.1
1654,154843.95
1655,146010.83
1656,154580.28
1657,156482.98
1658,155126.75
1659,137796.53
1660,150775.36
1661,461914.47
1662,368038.97
1663,356648.5
1664,438805.66
1665,292571.16
1666,296384.62
1667,334381.56
1668,316809.7
1669,270167.03
1670,358893.0
1671,244404.23
1672,417593.94
1673,295771.38
1674,246880.05
1675,189725.25
1676,187767.03
1677,210594.47
1678,410019.8
1679,388720.53
1680,303279.78
1681,271965.16
1682,289286.16
1683,181331.94
1684,169066.27
1685,172900.17
1686,172000.44
1687,173679.5
1688,191319.7
1689,194595.02
1690,191154.02
1691,179108.03
1692,265244.84
1693,183540.14
1694,188592.31
1695,171187.25
1696,267847.1
1697,172295.98
1698,363690.4
